DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
190211527,05/18/2019,05/18/2019,0110,02,Rampart,0279,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030,33,F,H,101,STREET,UNION,JAMES M WOOD,"(34.0508, -118.2731)"
110518459,10/11/2011,10/11/2011,1735,05,Harbor,0505,997,TRAFFIC COLLISION,0506,27,F,O,101,STREET,VERMONT,KNOX,"(33.8542, -118.2905)"
180618348,08/09/2018,08/09/2018,1830,06,Hollywood,0665,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3401 3701 4006,33,M,W,101,STREET,FRANKLIN                     AV,ARGYLE,"(34.1052, -118.3252)"
120312271,05/09/2012,05/09/2012,0845,03,Southwest,0331,997,TRAFFIC COLLISION,,51,M,B,101,STREET,LA BREA                      AV,JEFFERSON                    BL,"(34.0255, -118.3548)"
121215287,06/13/2012,06/13/2012,0745,12,77th Street,1208,997,TRAFFIC COLLISION,0605,48,F,B,101,STREET,48TH                         ST,FIGUEROA,"(33.9997, -118.2827)"
180626429,12/29/2018,12/28/2018,1720,06,Hollywood,0645,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4006,57,F,W,108,PARKING LOT,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
180213950,06/23/2018,06/23/2018,1040,02,Rampart,0249,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 3029 3036,39,F,H,101,STREET,BOYLSTON                     ST,4TH                          ST,"(34.0559, -118.2584)"
180222849,11/16/2018,11/15/2018,2330,02,Rampart,0265,997,TRAFFIC COLLISION,3101 3401 3701 3003 3024 1218,40,M,H,101,STREET,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)"
180222981,11/18/2018,11/18/2018,2135,02,Rampart,0212,997,TRAFFIC COLLISION,0605 3102 3401 3701 4024 3006 3030,,,,101,STREET,VERMONT                      AV,CLINTON                      ST,"(34.0818, -118.2917)"
180417416,11/18/2018,11/18/2018,1710,04,Hollenbeck,0456,997,TRAFFIC COLLISION,3101 3401 3701 3003 3027 1218 3036,73,M,H,101,STREET,EVERGREEN                    AV,FAIRMOUNT                    ST,"(34.049, -118.197)"
180602230,12/14/2018,12/14/2018,2340,06,Hollywood,0647,997,TRAFFIC COLLISION,3011 3028 3030 3035 3037 3101 3401 3701 4006,17,,,101,STREET,ARGYLE,SUNSET,"(34.098, -118.3252)"
180625694,12/14/2018,12/14/2018,0030,06,Hollywood,0666,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3401 3701 4006,19,M,B,101,STREET,CAHUENGA,DE LONGPRE,"(34.0962, -118.3295)"
180714619,08/05/2018,08/05/2018,0245,07,Wilshire,0721,997,TRAFFIC COLLISION,3004 3026 3029 3035 3036 3101 3401 3701 4007,33,M,H,101,STREET,LA CIENEGA                   BL,SAN VICENTE                  BL,"(34.0711, -118.3764)"
180124356,09/21/2018,09/21/2018,0810,01,Central,0182,997,TRAFFIC COLLISION,0605 3101 3401 3701 3006 3030,30,M,H,101,STREET,9TH                          ST,FIGUEROA                     ST,"(34.0462, -118.2628)"
