alert_id,event_time,date,asset_id
HB3Nvao0uO6,2019-06-10T07:04:21.000+03:00,2019-06-10,8eUhLTq
HB3Nvao0uO6,2019-06-10T07:04:21.000+03:00,2019-06-10,dlRYJpY
lxQRbsBwMR0,2019-06-10T07:30:36.000+03:00,2019-06-10,2vAd61G
lxQRbsBwMR0,2019-06-10T07:30:36.000+03:00,2019-06-10,NG1Bzya
KdVKuoubHtU,2019-06-10T07:30:47.000+03:00,2019-06-10,ZMIBczJ
CvBff6D4n0P,2019-06-10T07:36:02.000+03:00,2019-06-10,nnaw49v
CvBff6D4n0P,2019-06-10T07:36:02.000+03:00,2019-06-10,jRriLhO
CvBff6D4n0P,2019-06-10T07:36:02.000+03:00,2019-06-10,E47sd2K
0ZrX3rIidUB,2019-06-10T08:11:16.000+03:00,2019-06-10,ewcaOTO
vwsUROfwNk4,2019-06-10T08:25:33.000+03:00,2019-06-10,7zfUBaH
vwsUROfwNk4,2019-06-10T08:25:33.000+03:00,2019-06-10,Q7vQWzm
vwsUROfwNk4,2019-06-10T08:25:33.000+03:00,2019-06-10,ANc6UhY
I5NMzE4LcdQ,2019-06-10T09:08:28.000+03:00,2019-06-10,q3ZB1Kc
eyLiVKpbumX,2019-06-10T09:26:12.000+03:00,2019-06-10,TkS3mX4
eyLiVKpbumX,2019-06-10T09:26:12.000+03:00,2019-06-10,pbkeAuI
eyLiVKpbumX,2019-06-10T09:26:12.000+03:00,2019-06-10,1NWoRwO
eyLiVKpbumX,2019-06-10T09:26:12.000+03:00,2019-06-10,JQV2lMK
814iPfEdDRq,2019-06-10T09:40:48.000+03:00,2019-06-10,VWShifR
814iPfEdDRq,2019-06-10T09:40:48.000+03:00,2019-06-10,IwJNdAc
ArbwAO2m4Oa,2019-06-10T09:41:35.000+03:00,2019-06-10,tjH1Vkp
ArbwAO2m4Oa,2019-06-10T09:41:35.000+03:00,2019-06-10,WN4ySPO
ArbwAO2m4Oa,2019-06-10T09:41:35.000+03:00,2019-06-10,dAhpK0Q
ArbwAO2m4Oa,2019-06-10T09:41:35.000+03:00,2019-06-10,hxVFArr
O9zC9Tx6eJv,2019-06-10T09:44:03.000+03:00,2019-06-10,z7rLObx
O9zC9Tx6eJv,2019-06-10T09:44:03.000+03:00,2019-06-10,T40Zafa
O9zC9Tx6eJv,2019-06-10T09:44:03.000+03:00,2019-06-10,At4P3T2
O9zC9Tx6eJv,2019-06-10T09:44:03.000+03:00,2019-06-10,DAODIcA
O9zC9Tx6eJv,2019-06-10T09:44:03.000+03:00,2019-06-10,ro044tN
