alert_id,event_time,date,asset_id
S2byDm68oNU,2019-06-18T14:11:49.000+03:00,2019-06-18,ZFumEYc
Wxro5AaiSSI,2019-06-18T14:17:30.000+03:00,2019-06-18,VjoIjhO
Wxro5AaiSSI,2019-06-18T14:17:30.000+03:00,2019-06-18,m2Ss4Kz
t126DDTsC60,2019-06-18T15:09:24.000+03:00,2019-06-18,h7Tldi2
t126DDTsC60,2019-06-18T15:09:24.000+03:00,2019-06-18,2XUwpVH
t126DDTsC60,2019-06-18T15:09:24.000+03:00,2019-06-18,3cVcpgO
t126DDTsC60,2019-06-18T15:09:24.000+03:00,2019-06-18,qmm5wxf
oIpXWTYPGOs,2019-06-18T15:12:55.000+03:00,2019-06-18,TfKR0tu
oIpXWTYPGOs,2019-06-18T15:12:55.000+03:00,2019-06-18,V0FRcMo
oIpXWTYPGOs,2019-06-18T15:12:55.000+03:00,2019-06-18,msKLcGc
oIpXWTYPGOs,2019-06-18T15:12:55.000+03:00,2019-06-18,fGA5oqH
KdVKuoubHtU,2019-06-18T16:22:39.000+03:00,2019-06-18,wAH9hLi
KdVKuoubHtU,2019-06-18T16:22:39.000+03:00,2019-06-18,Rm9nAyO
KdVKuoubHtU,2019-06-18T16:22:39.000+03:00,2019-06-18,cZWNec8
9eWpr1cPXEE,2019-06-18T16:46:09.000+03:00,2019-06-18,jYHGoRE
9eWpr1cPXEE,2019-06-18T16:46:09.000+03:00,2019-06-18,qFZBHOX
9eWpr1cPXEE,2019-06-18T16:46:09.000+03:00,2019-06-18,q5MY47C
9eWpr1cPXEE,2019-06-18T16:46:09.000+03:00,2019-06-18,8EmgEx0
HttiH0rqiG4,2019-06-18T20:53:34.000+03:00,2019-06-18,Onl9dgS
HttiH0rqiG4,2019-06-18T20:53:34.000+03:00,2019-06-18,Qg7bIyS
HttiH0rqiG4,2019-06-18T20:53:34.000+03:00,2019-06-18,QsIcJ9e
HttiH0rqiG4,2019-06-18T20:53:34.000+03:00,2019-06-18,9GHmItp
2Jof51BvzqX,2019-06-18T21:14:30.000+03:00,2019-06-18,ySySLIC
2Jof51BvzqX,2019-06-18T21:14:30.000+03:00,2019-06-18,h59TgXq
2Jof51BvzqX,2019-06-18T21:14:30.000+03:00,2019-06-18,ILtr0IE
2Jof51BvzqX,2019-06-18T21:14:30.000+03:00,2019-06-18,ZEm3TCD
2Jof51BvzqX,2019-06-18T21:14:30.000+03:00,2019-06-18,NkHZSZ4
I5NMzE4LcdQ,2019-06-18T21:24:45.000+03:00,2019-06-18,jpgQpaN
I5NMzE4LcdQ,2019-06-18T21:24:45.000+03:00,2019-06-18,yMed4Wc
I5NMzE4LcdQ,2019-06-18T21:24:45.000+03:00,2019-06-18,vb9Z5ye
I5NMzE4LcdQ,2019-06-18T21:24:45.000+03:00,2019-06-18,aNdaeDA
