alert_id,event_time,date,asset_id
soOEM5S7lYr,2019-06-25T10:23:40.000+03:00,2019-06-25,sGq0bvs
soOEM5S7lYr,2019-06-25T10:23:40.000+03:00,2019-06-25,9O4Sdtn
soOEM5S7lYr,2019-06-25T10:23:40.000+03:00,2019-06-25,0WLLDZM
nGw2Qqb7Ll8,2019-06-25T11:07:35.000+03:00,2019-06-25,Ja72KbJ
nGw2Qqb7Ll8,2019-06-25T11:07:35.000+03:00,2019-06-25,koQ50bl
nGw2Qqb7Ll8,2019-06-25T11:07:35.000+03:00,2019-06-25,UxvzQAf
nGw2Qqb7Ll8,2019-06-25T11:07:35.000+03:00,2019-06-25,356AVKM
X9x5OMaVagy,2019-06-25T11:15:26.000+03:00,2019-06-25,aN54mML
uTQimz0xfbI,2019-06-25T11:28:12.000+03:00,2019-06-25,BGe4MeY
u6GnQ51znX6,2019-06-25T11:34:42.000+03:00,2019-06-25,KL9RVFb
u6GnQ51znX6,2019-06-25T11:34:42.000+03:00,2019-06-25,VGEziDC
u6GnQ51znX6,2019-06-25T11:34:42.000+03:00,2019-06-25,muCrdOk
t126DDTsC60,2019-06-25T11:53:39.000+03:00,2019-06-25,C99aGwM
t126DDTsC60,2019-06-25T11:53:39.000+03:00,2019-06-25,My88XwV
t126DDTsC60,2019-06-25T11:53:39.000+03:00,2019-06-25,oBtU6sS
t126DDTsC60,2019-06-25T11:53:39.000+03:00,2019-06-25,lkOW4ey
t126DDTsC60,2019-06-25T11:53:39.000+03:00,2019-06-25,gC6xFGM
KdVKuoubHtU,2019-06-25T12:14:56.000+03:00,2019-06-25,5gPPalF
oQ9FOYI48SY,2019-06-25T12:36:15.000+03:00,2019-06-25,EevrZHg
oQ9FOYI48SY,2019-06-25T12:36:15.000+03:00,2019-06-25,pnbFdhJ
oQ9FOYI48SY,2019-06-25T12:36:15.000+03:00,2019-06-25,qumggeT
oQ9FOYI48SY,2019-06-25T12:36:15.000+03:00,2019-06-25,MQvRRYl
oQ9FOYI48SY,2019-06-25T12:36:15.000+03:00,2019-06-25,Mwi0WTz
JHDImbeDmR8,2019-06-25T12:54:15.000+03:00,2019-06-25,gM4Tmah
JHDImbeDmR8,2019-06-25T12:54:15.000+03:00,2019-06-25,aemRmxd
JHDImbeDmR8,2019-06-25T12:54:15.000+03:00,2019-06-25,xH8wQvh
JHDImbeDmR8,2019-06-25T12:54:15.000+03:00,2019-06-25,wUHPDiq
JHDImbeDmR8,2019-06-25T12:54:15.000+03:00,2019-06-25,XUrvDGR
