alert_id,event_time,date,asset_id
O9zC9Tx6eJv,2019-06-17T15:21:57.000+03:00,2019-06-17,Y9Of2pI
O9zC9Tx6eJv,2019-06-17T15:21:57.000+03:00,2019-06-17,getfCA7
djBVUKLJdaU,2019-06-17T15:44:48.000+03:00,2019-06-17,MuOimJO
djBVUKLJdaU,2019-06-17T15:44:48.000+03:00,2019-06-17,PawomFY
djBVUKLJdaU,2019-06-17T15:44:48.000+03:00,2019-06-17,akeHmkb
djBVUKLJdaU,2019-06-17T15:44:48.000+03:00,2019-06-17,MQyCREp
X7cYrWsMibY,2019-06-17T15:46:34.000+03:00,2019-06-17,OQsaEIW
X7cYrWsMibY,2019-06-17T15:46:34.000+03:00,2019-06-17,qi2YaYi
X7cYrWsMibY,2019-06-17T15:46:34.000+03:00,2019-06-17,81x9spi
BxKRvWMrY6I,2019-06-17T16:07:59.000+03:00,2019-06-17,O1x40iT
BxKRvWMrY6I,2019-06-17T16:07:59.000+03:00,2019-06-17,GDKyaut
jlcYc5PQ5u5,2019-06-17T16:08:32.000+03:00,2019-06-17,la74Cv1
jlcYc5PQ5u5,2019-06-17T16:08:32.000+03:00,2019-06-17,PtyPenO
mEmTZVPrTJd,2019-06-17T17:09:32.000+03:00,2019-06-17,HKzFpd3
mEmTZVPrTJd,2019-06-17T17:09:32.000+03:00,2019-06-17,Oaq7f8H
nU9qAdROmHP,2019-06-17T18:06:22.000+03:00,2019-06-17,llX5pOK
nU9qAdROmHP,2019-06-17T18:06:22.000+03:00,2019-06-17,OJknsfy
nU9qAdROmHP,2019-06-17T18:06:22.000+03:00,2019-06-17,kXq0JOZ
nU9qAdROmHP,2019-06-17T18:06:22.000+03:00,2019-06-17,KCCjTZN
nU9qAdROmHP,2019-06-17T18:06:22.000+03:00,2019-06-17,KHXiQzg
Wxro5AaiSSI,2019-06-17T18:17:42.000+03:00,2019-06-17,Scpwg7M
Wxro5AaiSSI,2019-06-17T18:17:42.000+03:00,2019-06-17,JGS2HWy
Wxro5AaiSSI,2019-06-17T18:17:42.000+03:00,2019-06-17,YFtqQQV
Wxro5AaiSSI,2019-06-17T18:17:42.000+03:00,2019-06-17,l0oaPII
Wxro5AaiSSI,2019-06-17T18:17:42.000+03:00,2019-06-17,K2nw5zf
qpzO9bDEXYB,2019-06-17T19:45:49.000+03:00,2019-06-17,hZMkzwR
qpzO9bDEXYB,2019-06-17T19:45:49.000+03:00,2019-06-17,vdPwcC4
qpzO9bDEXYB,2019-06-17T19:45:49.000+03:00,2019-06-17,NDnQr8m
qpzO9bDEXYB,2019-06-17T19:45:49.000+03:00,2019-06-17,6zDXDnS
qpzO9bDEXYB,2019-06-17T19:45:49.000+03:00,2019-06-17,yapxHuG
