alert_id,event_time,date,asset_id
kdg3hBfiwCk,2019-06-29T10:33:03.000+03:00,2019-06-29,IoYFfC2
74oBBbuPaSg,2019-06-29T11:12:50.000+03:00,2019-06-29,7M6lQDE
74oBBbuPaSg,2019-06-29T11:12:50.000+03:00,2019-06-29,eNxPqfj
74oBBbuPaSg,2019-06-29T11:12:50.000+03:00,2019-06-29,J7it64b
ChPjT8d8BRX,2019-06-29T11:32:43.000+03:00,2019-06-29,qfevi9i
YWG6P8N45eQ,2019-06-29T11:39:04.000+03:00,2019-06-29,j9x6jH0
YWG6P8N45eQ,2019-06-29T11:39:04.000+03:00,2019-06-29,wLqBrNB
YWG6P8N45eQ,2019-06-29T11:39:04.000+03:00,2019-06-29,L3KJhLj
YWG6P8N45eQ,2019-06-29T11:39:04.000+03:00,2019-06-29,r5KFLPh
YqxeNT2b1WJ,2019-06-29T11:48:49.000+03:00,2019-06-29,WUJvEjm
YqxeNT2b1WJ,2019-06-29T11:48:49.000+03:00,2019-06-29,Cx27aA5
YqxeNT2b1WJ,2019-06-29T11:48:49.000+03:00,2019-06-29,eLcFUSY
k01Jbv2jug2,2019-06-29T12:35:41.000+03:00,2019-06-29,yWMesOq
sHqLZ3ygoVI,2019-06-29T12:54:35.000+03:00,2019-06-29,8TB6hgC
sHqLZ3ygoVI,2019-06-29T12:54:35.000+03:00,2019-06-29,LOu7bHf
MlsUENcq3iO,2019-06-29T13:31:59.000+03:00,2019-06-29,aLJxj3C
MlsUENcq3iO,2019-06-29T13:31:59.000+03:00,2019-06-29,LTHUJI0
MlsUENcq3iO,2019-06-29T13:31:59.000+03:00,2019-06-29,yuVuogq
MlsUENcq3iO,2019-06-29T13:31:59.000+03:00,2019-06-29,CsdvHiQ
eyLiVKpbumX,2019-06-29T13:44:18.000+03:00,2019-06-29,9uoo51X
u6GnQ51znX6,2019-06-29T13:45:23.000+03:00,2019-06-29,8QRjLUJ
u6GnQ51znX6,2019-06-29T13:45:23.000+03:00,2019-06-29,6bNa4TU
u6GnQ51znX6,2019-06-29T13:45:23.000+03:00,2019-06-29,1JqC5a6
BxKRvWMrY6I,2019-06-29T13:59:53.000+03:00,2019-06-29,Y399xni
BxKRvWMrY6I,2019-06-29T13:59:53.000+03:00,2019-06-29,WU5htk5
BxKRvWMrY6I,2019-06-29T13:59:53.000+03:00,2019-06-29,LOx7Kr9
BxKRvWMrY6I,2019-06-29T13:59:53.000+03:00,2019-06-29,cLFI1R9
P7BrHI2xkol,2019-06-29T14:11:12.000+03:00,2019-06-29,0UjyszL
P7BrHI2xkol,2019-06-29T14:11:12.000+03:00,2019-06-29,lXs5e0Y
P7BrHI2xkol,2019-06-29T14:11:12.000+03:00,2019-06-29,aALvpO4
P7BrHI2xkol,2019-06-29T14:11:12.000+03:00,2019-06-29,a7aS2Mw
